Date,Date_Unnamed: 0_level_1,Close_TCS.NS,High_TCS.NS,Low_TCS.NS,Open_TCS.NS,Volume_TCS.NS
2020-01-01,01-01-2020,1966.271118,1981.05698,1953.934212,1966.633877,1354908.0
2020-01-02,02-01-2020,1957.244751,1977.473544,1949.579642,1977.473544,2380752.0
2020-01-03,03-01-2020,1996.250732,2016.524924,1963.00492,1963.00492,4655761.0
2020-01-06,06-01-2020,1996.069092,2019.200616,1984.684709,2000.196526,3023209.0
2020-01-07,07-01-2020,2000.968384,2008.950853,1980.966367,1996.115209,2429317.0
2020-01-08,08-01-2020,2045.779297,2050.08811,1997.52063,2000.196586,5197454.0
2020-01-09,09-01-2020,2008.678833,2042.786371,2004.732777,2039.883635,3734173.0
2020-01-10,10-01-2020,2007.953125,2026.503663,2002.918571,2021.060949,1915807.0
2020-01-13,13-01-2020,1986.908081,2012.85155,1981.782726,2011.853852,2843893.0
2020-01-14,14-01-2020,2001.920532,2022.693687,1991.125906,1991.125906,2948452.0
2020-01-15,15-01-2020,2020.062622,2023.781897,1990.399884,2007.45376,2620681.0
2020-01-16,16-01-2020,2030.857056,2040.109621,2009.26759,2020.107612,3117214.0
2020-01-17,17-01-2020,2012.987671,2044.237873,2007.454157,2032.626707,3281059.0
2020-01-20,20-01-2020,1968.765259,2033.941608,1955.929396,1991.034847,5817599.0
2020-01-21,21-01-2020,1969.400391,1983.460733,1957.607846,1968.402471,1902980.0
2020-01-22,22-01-2020,2001.920532,2004.732689,1971.80423,1978.426242,1773686.0
2020-01-23,23-01-2020,1991.964844,2016.330875,1985.373299,2009.102949,2069866.0
2020-01-24,24-01-2020,1985.100708,1991.965052,1972.917802,1991.965052,1319430.0
2020-01-27,27-01-2020,1972.235962,1994.238043,1968.371952,1990.828623,1549101.0
2020-01-28,28-01-2020,1985.419312,1989.10153,1956.552883,1976.554818,1743024.0
2020-01-29,29-01-2020,1958.916382,1988.328178,1954.734071,1986.555324,2306761.0
2020-01-30,30-01-2020,1943.6875,1968.371609,1932.004467,1963.825717,2098567.0
2020-01-31,31-01-2020,1890.227905,1949.597315,1883.454569,1945.096703,3287223.0
2020-02-03,03-02-2020,1911.548218,1995.37445,1903.092811,1956.552563,4728073.0
2020-02-04,04-02-2020,1916.321167,1942.641843,1897.092129,1935.641212,3509339.0
2020-02-05,05-02-2020,1951.597412,1960.825486,1913.184615,1922.912782,2439322.0
2020-02-06,06-02-2020,1935.050537,1976.736247,1923.367502,1950.188273,2640065.0
2020-02-07,07-02-2020,1942.505615,1955.643202,1926.549486,1944.733058,2083442.0
2020-02-10,10-02-2020,1965.598633,1970.190029,1926.549456,1946.460379,2383032.0
2020-02-11,11-02-2020,1957.825317,1977.281875,1952.552259,1966.553522,1335820.0
2020-02-12,12-02-2020,1973.599731,1986.555528,1954.734273,1955.734458,1620407.0
2020-02-13,13-02-2020,1992.874634,1997.466032,1973.82738,1975.600235,1645948.0
2020-02-14,14-02-2020,1985.828369,2011.103585,1973.827253,1989.283293,1500115.0
2020-02-17,17-02-2020,2003.148071,2015.649279,1991.283244,1997.420201,1774724.0
